,0
0,20.036413192749023
1,20.005735397338867
2,28.27045249938965
3,23.68558692932129
4,19.864166259765625
5,16.223491668701172
6,19.242586135864258
7,19.963905334472656
8,17.917797088623047
9,16.842708587646484
10,14.509832382202148
11,22.00078010559082
12,16.020225524902344
13,16.62035369873047
14,17.52545928955078
15,16.315227508544922
16,13.61149787902832
17,17.53897476196289
18,16.260364532470703
19,31.292949676513672
20,16.754980087280273
21,15.017524719238281
22,69.00740242004395
23,12.646537780761719
24,17.126415252685547
25,27.170198440551758
26,16.68128204345703
27,13.490772247314453
28,27.528438568115234
29,23.029308319091797
30,28.028562545776367
31,16.97820472717285
32,32.61595153808594
33,15.326053619384766
34,18.828556060791016
35,16.780725479125977
36,23.095996856689453
37,22.471925735473633
38,15.05897331237793
39,22.1076602935791
40,17.38007926940918
41,20.206098556518555
42,39.22115898132324
43,18.685096740722656
44,27.908788681030273
45,17.296213150024414
46,16.206104278564453
47,17.731103897094727
48,23.981067657470703
49,19.436861038208008
50,22.61983871459961
51,16.60110855102539
52,22.7203369140625
53,37.32966232299805
54,17.520584106445312
55,16.16313362121582
56,14.545156478881836
57,55.939626693725586
58,32.66595649719238
59,18.91574478149414
60,24.15200424194336
61,16.30744743347168
62,17.04682731628418
63,22.52638816833496
64,16.95517921447754
65,29.87125587463379
66,31.48906898498535
67,20.561180114746094
68,13.109546661376953
69,26.02375602722168
70,18.11815071105957
71,26.84880828857422
72,24.431982040405273
73,17.041095733642578
74,16.384151458740234
75,18.897960662841797
76,17.26848030090332
77,18.879165649414062
78,17.403690338134766
79,29.439695358276367
80,17.090620040893555
81,22.733570098876953
82,17.017471313476562
83,16.522472381591797
84,16.77061653137207
85,22.07379913330078
86,19.338340759277344
87,16.512176513671875
88,15.999486923217773
89,27.205678939819336
90,16.21392250061035
91,23.328027725219727
92,28.93869972229004
93,32.4964485168457
94,17.972381591796875
95,28.457061767578125
96,25.959897994995117
97,14.579235076904297
98,16.661806106567383
99,20.31794548034668
100,17.947006225585938
101,17.0980281829834
102,17.15305519104004
103,16.454862594604492
104,17.76432991027832
105,21.48033905029297
106,19.901039123535156
107,17.76214027404785
108,23.209991455078125
109,32.60130310058594
110,24.72136688232422
111,14.82828140258789
112,12.894865036010742
113,23.7902889251709
114,16.572023391723633
115,16.144474029541016
116,18.921873092651367
117,26.3110294342041
118,16.34698486328125
119,24.728666305541992
120,17.810752868652344
121,21.9935245513916
122,22.20244026184082
123,17.38359260559082
124,22.285173416137695
125,19.864164352416992
126,18.129762649536133
127,20.75960922241211
128,6.532657623291016
129,16.67462730407715
130,17.348817825317383
131,17.29292106628418
132,18.569650650024414
133,22.473125457763672
134,16.34849739074707
135,19.695964813232422
136,22.584524154663086
137,24.653587341308594
138,27.399282455444336
139,39.64512252807617
140,22.452634811401367
141,19.501728057861328
142,14.78278923034668
143,36.2624626159668
144,15.607295989990234
145,26.93797492980957
146,20.222400665283203
147,19.140737533569336
148,13.936849594116211
149,21.95052719116211
150,26.488441467285156
151,31.661746978759766
152,15.813159942626953
153,26.505285263061523
154,17.827613830566406
155,15.015275955200195
156,28.923189163208008
157,31.618885040283203
158,20.12057876586914
159,16.020366668701172
160,12.133604049682617
161,18.360271453857422
162,13.178731918334961
163,21.37692642211914
164,16.858097076416016
165,30.13585662841797
166,30.337465286254883
167,29.553936004638672
168,16.282442092895508
169,16.2833251953125
170,22.51003074645996
171,17.422771453857422
172,17.95029640197754
173,17.403650283813477
174,24.78931427001953
175,30.434906005859375
176,16.26030921936035
177,20.76040267944336
178,21.302427291870117
179,21.81036949157715
180,20.4555606842041
181,37.76579284667969
182,17.167530059814453
183,28.804195404052734
184,11.57206916809082
185,28.387704849243164
186,23.731731414794922
187,15.813716888427734
188,20.62278175354004
189,21.589744567871094
190,16.450233459472656
191,17.174097061157227
192,27.427505493164062
193,11.100851058959961
194,19.432064056396484
195,17.63455581665039
196,28.221927642822266
197,13.680171966552734
198,29.93779182434082
199,17.463863372802734
200,12.765132904052734
201,17.881683349609375
202,16.428640365600586
203,24.056909561157227
204,13.952020645141602
205,30.912321090698242
206,17.812923431396484
207,32.13150596618652
208,17.3197078704834
209,17.45687484741211
210,22.90071678161621
211,15.30916976928711
212,20.529842376708984
213,13.702383041381836
214,26.014467239379883
215,29.037981033325195
216,16.566001892089844
217,18.1621036529541
218,15.520454406738281
219,15.542621612548828
220,16.744340896606445
221,37.2829475402832
222,24.624019622802734
223,25.706525802612305
224,15.404909133911133
225,19.966428756713867
226,25.512054443359375
227,16.56334686279297
228,21.24747657775879
229,41.24917411804199
230,14.835195541381836
231,37.59167289733887
232,16.818506240844727
233,16.826444625854492
234,28.047168731689453
235,67.05323791503906
236,29.897003173828125
237,63.48320770263672
238,16.74163246154785
239,23.071496963500977
240,22.247310638427734
241,22.583152770996094
242,5.053867340087891
243,22.48225212097168
244,18.348236083984375
245,6.542146682739258
246,19.48741340637207
247,21.628374099731445
248,18.945735931396484
249,12.048940658569336
250,16.624971389770508
251,23.413917541503906
252,16.376224517822266
253,17.85887908935547
254,30.828187942504883
255,38.06392478942871
256,17.878742218017578
257,20.978708267211914
258,22.23903465270996
259,18.047618865966797
260,33.211544036865234
261,18.13087272644043
262,47.1564826965332
263,13.419515609741211
264,31.215696334838867
265,18.8677978515625
266,16.933237075805664
267,19.753402709960938
268,16.351152420043945
269,17.268569946289062
270,17.81633186340332
271,17.42376136779785
272,19.742589950561523
273,22.99593162536621
274,28.85098648071289
275,34.06217384338379
276,17.67788314819336
277,17.692975997924805
278,11.993711471557617
279,19.627338409423828
280,16.91463851928711
281,18.44754409790039
282,16.459583282470703
283,17.70339584350586
284,28.026329040527344
285,20.129886627197266
286,19.007583618164062
287,13.985099792480469
288,16.137191772460938
289,30.56783103942871
290,19.01068878173828
291,17.490352630615234
292,28.171640396118164
293,14.306001663208008
294,13.8251953125
295,14.698387145996094
296,19.142301559448242
297,18.086017608642578
298,20.562580108642578
299,157.24593353271484
300,30.859508514404297
301,17.952322006225586
302,16.909927368164062
303,27.353315353393555
304,21.537193298339844
305,6.571380615234375
306,16.656150817871094
307,31.384552001953125
308,17.858482360839844
309,15.328733444213867
310,15.913087844848633
311,16.58706283569336
312,20.119434356689453
313,24.900619506835938
314,19.54790687561035
315,37.35169792175293
316,22.91694450378418
317,15.735469818115234
318,14.305370330810547
319,20.71224594116211
320,16.87362289428711
321,16.51029396057129
322,17.694725036621094
323,25.869409561157227
324,18.208295822143555
325,17.601276397705078
326,26.404266357421875
327,18.02389144897461
328,13.291606903076172
329,18.10689353942871
330,67.80921936035156
331,16.76680564880371
332,16.790821075439453
333,17.54047203063965
334,16.981842041015625
335,15.276447296142578
336,17.33957862854004
337,20.34598159790039
338,12.542673110961914
339,16.830326080322266
340,16.482629776000977
341,26.85942268371582
342,26.572084426879883
343,15.986959457397461
344,33.579444885253906
345,16.801692962646484
346,23.77239227294922
347,16.98216438293457
348,16.26082992553711
